trial_id,timestamp_s,vicon_timestamp_s,object_id,label,pred_min_x,pred_min_y,pred_max_x,pred_max_y,gt_min_x,gt_min_y,gt_max_x,gt_max_y,score_m,missed_detection,placeholder
chair-session-001-pose-000001,1787076011.031323910,1787076011.028760672,obj-1,chair,,,,,-0.263722771,-0.991411631,0.326250266,-0.412526390,,true,false
chair-session-001-pose-000002,1787076039.527844906,1787076039.529210806,obj-1,chair,-0.863591710,-1.201491084,-0.269927697,-0.742207996,-0.944073488,-1.191669677,-0.286298675,-0.542039798,0.200168198,false,false
chair-session-001-pose-000003,1787076043.033216953,1787076043.026751757,obj-1,chair,-0.939403944,-1.196677606,-0.342332321,-0.505800794,-1.121892216,-0.584285656,-0.490333907,0.037038334,0.542839128,false,false
chair-session-001-pose-000004,1787076052.028763294,1787076052.028063774,obj-1,chair,-0.939403944,-1.196677606,-0.342332321,-0.505800794,-0.721729488,-0.936700121,0.101157118,-0.113006242,0.443489439,false,false
chair-session-001-pose-000005,1787076061.529129267,1787076061.529845953,obj-1,chair,0.345308619,-1.094398571,1.481623961,0.480121250,0.438008010,-1.069389122,1.048512090,-0.470029939,0.000000000,false,false
chair-session-001-pose-000006,1787076071.029268265,1787076071.038769484,obj-1,chair,-0.325873055,-1.648668483,0.153999065,-0.977334138,-0.413599740,-1.678240620,0.203208235,-1.072986221,0.087726684,false,false
chair-session-001-pose-000007,1787076083.534673929,1787076083.537214041,obj-1,chair,-0.476129310,-1.263904310,0.072815495,-0.166204423,-0.375782786,-0.668475221,0.239539291,-0.063384009,0.166723796,false,false
chair-session-001-pose-000008,1787076092.531006813,1787076092.535777807,obj-1,chair,-1.012918904,-1.250251920,-0.385615792,-0.742678288,-1.111215092,-1.206103262,-0.458505519,-0.562534151,0.180144137,false,false
chair-session-001-pose-000009,1787076108.032552719,1787076108.034351587,obj-1,chair,,,,,-1.056850765,-0.640854807,-0.245419299,0.173717211,,true,false
chair-session-001-pose-000010,1787076114.033616543,1787076114.023977041,obj-1,chair,,,,,-0.394644664,-0.511126765,0.202293125,0.073243903,,true,false
chair-session-001-pose-000011,1787076126.531808853,1787076126.535885334,obj-1,chair,-1.353250906,0.042428200,-0.453169801,1.094607725,-1.030658465,-0.273908879,-0.433672194,0.312809638,0.316337079,false,false
chair-session-001-pose-000012,1787076132.529191256,1787076132.531888962,obj-1,chair,,,,,-0.518007504,-1.657553676,0.113879339,-1.032374009,,true,false
chair-session-001-pose-000013,1787076176.025657892,1787076176.027687073,obj-1,chair,-0.364126299,-0.588410327,0.397095215,0.343477370,-0.289019083,-1.018722861,0.330685908,-0.409412329,0.430312534,false,false
chair-session-001-pose-000014,1787076179.025398493,1787076179.018341780,obj-1,chair,-0.364126299,-0.588410327,0.397095215,0.343477370,-0.289048075,-1.018717563,0.330662821,-0.409402029,0.430307236,false,false
chair-session-001-pose-000015,1787076182.024978161,1787076182.026457787,obj-1,chair,,,,,-0.289028211,-1.018716460,0.330665950,-0.409416647,,true,false
