trial_id,timestamp_s,vicon_timestamp_s,object_id,label,pred_min_x,pred_min_y,pred_max_x,pred_max_y,gt_min_x,gt_min_y,gt_max_x,gt_max_y,score_m,missed_detection,placeholder,session_id,capture_id,capture_index,raw_continuous,stable_pose,gt_center_x,gt_center_y,gt_yaw_rad,observer_x,observer_y,observer_z,observer_yaw_rad
chair-session-001-capture-000001,1787076011.031323910,1787076011.028760672,obj-1,chair,,,,,-0.263722771,-0.991411631,0.326250266,-0.412526390,,true,false,chair-session-001,chair-session-001-capture-000001,1,true,true,0.031263748,-0.701969011,1.572013138,-0.070000000,-2.390000000,-0.490000000,1.555088364
chair-session-001-capture-000002,1787076014.529622793,1787076014.538332224,obj-1,chair,-0.286904454,-0.983415106,0.462845475,0.440689493,-0.263697793,-0.991409225,0.326264558,-0.412534807,0.007994119,false,false,chair-session-001,chair-session-001-capture-000002,2,true,true,0.031283382,-0.701972016,1.571994592,-0.070000000,-2.390000000,-0.460000000,1.535889742
chair-session-001-capture-000003,1787076017.530738592,1787076017.522084236,obj-1,chair,-0.243854711,-0.991747933,0.454781210,0.416369023,-0.263693321,-0.991397023,0.326252446,-0.412538445,0.019838610,false,false,chair-session-001,chair-session-001-capture-000003,3,true,true,0.031279562,-0.701967734,1.571967284,-0.070000000,-2.390000000,-0.490000000,1.558579022
chair-session-001-capture-000004,1787076021.028953791,1787076021.054843664,obj-1,chair,-0.276868436,-0.976112219,0.391973315,0.439101653,-0.263699185,-0.991406236,0.326265568,-0.412527406,0.015294017,false,false,chair-session-001,chair-session-001-capture-000004,4,true,true,0.031283191,-0.701966821,1.572001407,-0.070000000,-2.390000000,-0.490000000,1.537635071
chair-session-001-capture-000005,1787076024.031500816,1787076024.027785778,obj-1,chair,-0.264585373,-0.984152741,0.428657793,0.427883444,-0.263709443,-0.991419845,0.326253331,-0.412545097,0.007267104,false,false,chair-session-001,chair-session-001-capture-000005,5,true,true,0.031271944,-0.701982471,1.571995623,-0.070000000,-2.390000000,-0.510000000,1.549852376
chair-session-001-capture-000006,1787076027.030548573,1787076027.023080587,obj-1,chair,-0.281024956,-0.983346994,0.304253366,-0.551328024,-0.263717208,-0.991401470,0.326247522,-0.412523977,0.138804047,false,false,chair-session-001,chair-session-001-capture-000006,6,true,true,0.031265157,-0.701962724,1.571999089,-0.070000000,-2.380000000,-0.500000000,1.602212253
chair-session-001-capture-000007,1787076030.029278040,1787076030.028353691,obj-1,chair,-0.253807905,-0.987409089,0.386675285,0.407954964,-0.263318158,-0.991025680,0.326001390,-0.412818912,0.009510253,false,false,chair-session-001,chair-session-001-capture-000007,7,true,true,0.031341616,-0.701922296,1.570872535,-0.070000000,-2.380000000,-0.490000000,1.602212253
chair-session-001-capture-000009,1787076036.527391911,1787076036.526854992,obj-1,chair,-1.001373162,-1.201403133,-0.268130418,-0.364119798,-0.945683442,-1.189770796,-0.287162190,-0.539441499,0.000000000,false,false,chair-session-001,chair-session-001-capture-000009,9,true,true,-0.616422816,-0.864606147,1.438830444,-0.070000000,-2.390000000,-0.520000000,1.583013632
chair-session-001-capture-000010,1787076039.527844906,1787076039.529210806,obj-1,chair,-0.863591710,-1.201491084,-0.269927697,-0.742207996,-0.944073488,-1.191669677,-0.286298675,-0.542039798,0.200168198,false,false,chair-session-001,chair-session-001-capture-000010,10,true,true,-0.615186082,-0.866854737,1.440569852,-0.070000000,-2.380000000,-0.510000000,1.591740278
chair-session-001-capture-000011,1787076043.033216953,1787076043.026751757,obj-1,chair,-0.939403944,-1.196677606,-0.342332321,-0.505800794,-1.121892216,-0.584285656,-0.490333907,0.037038334,0.542839128,false,false,chair-session-001,chair-session-001-capture-000011,11,true,true,-0.806113061,-0.273623661,1.492800247,-0.070000000,-2.390000000,-0.490000000,1.553343034
