trial_id,timestamp_s,vicon_timestamp_s,object_id,label,pred_min_x,pred_min_y,pred_max_x,pred_max_y,gt_min_x,gt_min_y,gt_max_x,gt_max_y,score_m,missed_detection,placeholder,session_id,capture_id,capture_index,raw_continuous,stable_pose,gt_center_x,gt_center_y,gt_yaw_rad,observer_x,observer_y,observer_z,observer_yaw_rad
chair-session-001-capture-000001,1789060897.955653191,1789060897.946307182,obj-1,chair1,,,,,-0.286177176,-0.207395584,0.312462582,0.380955397,,true,false,chair-session-001,chair-session-001-capture-000001,1,true,true,0.013142703,0.086779907,1.586323230,-0.020000000,-2.820000000,-0.480000000,1.542871059
chair-session-001-capture-000002,1789060901.455574751,1789060901.452200651,obj-1,chair1,,,,,-0.286161186,-0.207389577,0.312453871,0.380936365,,true,false,chair-session-001,chair-session-001-capture-000002,2,true,true,0.013146342,0.086773394,1.586279651,-0.020000000,-2.810000000,-0.470000000,1.513200461
chair-session-001-capture-000003,1789060905.455666780,1789060905.450552702,obj-1,chair1,,,,,-0.286176977,-0.207405563,0.312462200,0.380945165,,true,false,chair-session-001,chair-session-001-capture-000003,3,true,true,0.013142611,0.086769801,1.586322323,-0.020000000,-2.810000000,-0.480000000,1.500983157
chair-session-001-capture-000004,1789060908.956106186,1789060908.950770855,obj-1,chair1,,,,,-0.286160081,-0.207388734,0.312488573,0.380970355,,true,false,chair-session-001,chair-session-001-capture-000004,4,true,true,0.013164246,0.086790810,1.586339689,-0.010000000,-2.800000000,-0.480000000,1.530653754
chair-session-001-capture-000005,1789060911.955404997,1789060911.965215206,obj-1,chair1,,,,,-0.286165501,-0.207397608,0.312486419,0.380965710,,true,false,chair-session-001,chair-session-001-capture-000005,5,true,true,0.013160459,0.086784051,1.586345338,-0.010000000,-2.810000000,-0.520000000,1.506219144
chair-session-001-capture-000006,1789060914.955605984,1789060914.967042685,obj-1,chair1,,,,,-0.286157725,-0.207369338,0.312459911,0.380959050,,true,false,chair-session-001,chair-session-001-capture-000006,6,true,true,0.013151093,0.086794856,1.586284896,-0.010000000,-2.820000000,-0.480000000,1.555088364
chair-session-001-capture-000007,1789060917.955765486,1789060917.947907686,obj-1,chair1,,,,,-0.286147030,-0.207344963,0.312492173,0.381005543,,true,false,chair-session-001,chair-session-001-capture-000007,7,true,true,0.013172572,0.086830290,1.586324144,-0.010000000,-2.810000000,-0.480000000,1.562069681
chair-session-001-capture-000008,1789060921.455769300,1789060921.445308208,obj-1,chair1,,,,,-0.286173515,-0.207383905,0.312485119,0.380986425,,true,false,chair-session-001,chair-session-001-capture-000008,8,true,true,0.013155802,0.086801260,1.586357466,-0.010000000,-2.810000000,-0.490000000,1.548107047
chair-session-001-capture-000009,1789060924.455311298,1789060924.463196993,obj-1,chair1,,,,,-0.286162856,-0.207380975,0.312496867,0.380990605,,true,false,chair-session-001,chair-session-001-capture-000009,9,true,true,0.013167006,0.086804815,1.586359073,-0.010000000,-2.810000000,-0.500000000,1.535889742
chair-session-001-capture-000010,1789060927.455954313,1789060927.447743654,obj-1,chair1,,,,,-0.286144523,-0.207344417,0.312472443,0.380982649,,true,false,chair-session-001,chair-session-001-capture-000010,10,true,true,0.013163960,0.086819116,1.586286009,-0.010000000,-2.800000000,-0.500000000,1.551597705
