trial_id,timestamp_s,vicon_timestamp_s,object_id,label,pred_min_x,pred_min_y,pred_max_x,pred_max_y,gt_min_x,gt_min_y,gt_max_x,gt_max_y,score_m,missed_detection,placeholder,session_id,capture_id,capture_index,raw_continuous,stable_pose,gt_center_x,gt_center_y,gt_yaw_rad,observer_x,observer_y,observer_z,observer_yaw_rad
chair-session-001-capture-000001,1789065070.043126822,1789065070.043214798,obj-1,chair,-0.577438118,-1.238447682,0.205547178,-0.552335122,-0.301354976,-1.646791632,0.293243900,-1.062324376,0.408343949,false,false,chair-session-001,chair-session-001-capture-000001,1,true,true,-0.004055538,-1.354558004,1.562812288,-0.060000000,-2.920000000,-0.470000000,1.598721595
chair-session-001-capture-000002,1789065073.041001558,1789065073.049809933,obj-1,chair,-0.432996294,-1.610246071,0.203970919,-0.358870533,-0.301358176,-1.646807172,0.293243779,-1.062334599,0.089272859,false,false,chair-session-001,chair-session-001-capture-000002,2,true,true,-0.004057198,-1.354570886,1.562806251,-0.080000000,-2.910000000,-0.490000000,1.621410875
chair-session-001-capture-000003,1789065076.042435646,1789065076.040985823,obj-1,chair,-0.492865358,-1.596908064,0.126829516,-0.297849642,-0.301368032,-1.646798144,0.293239741,-1.062322320,0.166410225,false,false,chair-session-001,chair-session-001-capture-000003,3,true,true,-0.004064145,-1.354560232,1.562796646,-0.060000000,-2.900000000,-0.470000000,1.598721595
chair-session-001-capture-000004,1789065079.542078018,1789065079.538790703,obj-1,chair,-0.402574166,-1.606101333,0.180470227,-0.351030090,-0.301391053,-1.646721416,0.293171437,-1.062292837,0.112701210,false,false,chair-session-001,chair-session-001-capture-000004,4,true,true,-0.004109808,-1.354507126,1.562875314,-0.010000000,-2.890000000,-0.480000000,1.593485607
chair-session-001-capture-000005,1789065082.543253899,1789065082.542945862,obj-1,chair,-0.451090887,-1.628779042,0.146709273,-0.804048650,-0.301410574,-1.646738396,0.293191631,-1.062270204,0.146482358,false,false,chair-session-001,chair-session-001-capture-000005,5,true,true,-0.004109471,-1.354504300,1.562806510,-0.050000000,-2.900000000,-0.510000000,1.591740278
chair-session-001-capture-000006,1789065085.543329716,1789065085.540742397,obj-1,chair,-0.415646063,-1.613521070,0.194449445,-1.209544828,-0.301403080,-1.646728646,0.293195993,-1.062266248,0.147278580,false,false,chair-session-001,chair-session-001-capture-000006,6,true,true,-0.004103544,-1.354497447,1.562812530,-0.060000000,-2.900000000,-0.500000000,1.612684229
chair-session-001-capture-000007,1789065088.543663979,1789065088.541188002,obj-1,chair,-0.430689972,-1.620005573,0.195917918,-0.378331538,-0.301427929,-1.646738588,0.293193542,-1.062252408,0.097275624,false,false,chair-session-001,chair-session-001-capture-000007,7,true,true,-0.004117193,-1.354495498,1.562773354,-0.070000000,-2.910000000,-0.500000000,1.598721595
chair-session-001-capture-000008,1789065092.041335344,1789065092.041431904,obj-1,chair,-0.443116058,-1.624927672,0.153782004,-0.367056490,-0.301401901,-1.646690959,0.293176013,-1.062249193,0.139394008,false,false,chair-session-001,chair-session-001-capture-000008,8,true,true,-0.004112944,-1.354470076,1.562848855,-0.060000000,-2.910000000,-0.500000000,1.607448241
chair-session-001-capture-000010,1789065098.043220043,1789065098.057436466,obj-1,chair,-1.297182637,-1.791940007,-0.312433484,-0.427734052,-0.825091154,-1.720293248,-0.175789326,-1.080048280,0.136644158,false,false,chair-session-001,chair-session-001-capture-000010,10,true,true,-0.500440240,-1.400170764,1.462314967,-0.060000000,-2.910000000,-0.480000000,1.630137521
chair-session-001-capture-000011,1789065101.045399189,1789065101.041271210,obj-1,chair,-1.296981938,-1.787247709,-0.344202300,-0.437575127,-0.825450882,-1.719019461,-0.176225154,-1.078897268,0.167977145,false,false,chair-session-001,chair-session-001-capture-000011,11,true,true,-0.500838018,-1.398958365,1.462447747,-0.060000000,-2.900000000,-0.500000000,1.624901534
chair-session-001-capture-000012,1789065104.043554068,1789065104.041867256,obj-1,chair,-1.311326521,-1.782255400,-0.338965080,-0.414158918,-0.825636143,-1.718583002,-0.176352818,-1.078421963,0.162612262,false,false,chair-session-001,chair-session-001-capture-000012,12,true,true,-0.500994480,-1.398502482,1.462327696,-0.060000000,-2.910000000,-0.520000000,1.616174887
chair-session-001-capture-000013,1789065107.043772936,1789065107.045007944,obj-1,chair,-1.180217386,-1.753088154,-0.284451979,-0.404300445,-0.823241467,-1.720253369,-0.174682366,-1.080743561,0.109769613,false,false,chair-session-001,chair-session-001-capture-000013,13,true,true,-0.498961917,-1.400498465,1.463775624,-0.060000000,-2.910000000,-0.490000000,1.609193570
chair-session-001-capture-000015,1789065113.544171333,1789065113.541928768,obj-1,chair,-0.854180239,-1.643160136,-0.050997063,-0.265269927,-0.496215636,-1.615112909,0.099055056,-1.031388206,0.150052119,false,false,chair-session-001,chair-session-001-capture-000015,15,true,true,-0.198580290,-1.323250557,1.561483084,-0.060000000,-2.890000000,-0.500000000,1.635373509
chair-session-001-capture-000016,1789065117.047594309,1789065117.039906263,obj-1,chair,-0.795562641,-1.628584445,-0.067923593,-0.275346748,-0.495451369,-1.615434335,0.095708142,-1.034118026,0.163631736,false,false,chair-session-001,chair-session-001-capture-000016,16,true,true,-0.199871613,-1.324776180,1.573206707,-0.060000000,-2.910000000,-0.500000000,1.624901534
chair-session-001-capture-000018,1789065123.047142029,1789065123.040484667,obj-1,chair,-0.276516577,-1.151967222,0.416106573,0.593186727,-0.360556836,-1.181338910,0.235830202,-0.596355684,0.084040259,false,false,chair-session-001,chair-session-001-capture-000018,18,true,true,-0.062363317,-0.888847297,1.559510805,-0.070000000,-2.890000000,-0.500000000,1.506219144
chair-session-001-capture-000019,1789065126.043457508,1789065126.034867525,obj-1,chair,-0.589394012,-1.187923206,-0.001970690,-0.794433054,-0.357284775,-1.179619389,0.234990248,-0.598794689,0.236960939,false,false,chair-session-001,chair-session-001-capture-000019,19,true,true,-0.061147264,-0.889207039,1.566748347,-0.050000000,-2.910000000,-0.490000000,1.616174887
