sample_id,environment,ros2_pub_command,raw_rrt,raw_llm,s_u,s_x
0,"{""start"":{""x"":3.31,""y"":2.22,""z"":-0.25},""goal"":{""x"":2.64,""y"":1.08,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[1.68,2.62,-0.75],""max_corner"":[2.07,3.32,0.25],""size"":[0.38,0.7,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[1.2,0.92,-0.75],""max_corner"":[1.88,1.47,0.25],""size"":[0.68,0.55,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[2.03,2.43,-0.75],""max_corner"":[2.34,2.89,0.25],""size"":[0.31,0.46,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[1.68,2.62,-0.75],\""max_corner\"":[2.07,3.32,0.25],\""size\"":[0.38,0.7,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[1.2,0.92,-0.75],\""max_corner\"":[1.88,1.47,0.25],\""size\"":[0.68,0.55,1.0]},{\""id\"":3,\""label\"":\""box_3\"",\""shape\"":\""box\"",\""min_corner\"":[2.03,2.43,-0.75],\""max_corner\"":[2.34,2.89,0.25],\""size\"":[0.31,0.46,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":3.31,""y"":2.22,""z"":-0.25},{""x"":2.64,""y"":1.08,""z"":-0.25}]","[{""x"":3.31,""y"":2.22,""z"":-0.25},{""x"":2.64,""y"":1.08,""z"":-0.25}]",0.0,0.0
1,"{""start"":{""x"":1.62,""y"":1.41,""z"":-0.25},""goal"":{""x"":0.86,""y"":3.31,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[1.99,2.58,-0.75],""max_corner"":[2.6,3.08,0.25],""size"":[0.61,0.49,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[3.61,2.8,-0.75],""max_corner"":[3.91,3.13,0.25],""size"":[0.29,0.33,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[1.77,3.28,-0.75],""max_corner"":[2.2,3.76,0.25],""size"":[0.42,0.48,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[1.99,2.58,-0.75],\""max_corner\"":[2.6,3.08,0.25],\""size\"":[0.61,0.49,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[3.61,2.8,-0.75],\""max_corner\"":[3.91,3.13,0.25],\""size\"":[0.29,0.33,1.0]},{\""id\"":3,\""label\"":\""box_3\"",\""shape\"":\""box\"",\""min_corner\"":[1.77,3.28,-0.75],\""max_corner\"":[2.2,3.76,0.25],\""size\"":[0.42,0.48,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":1.62,""y"":1.41,""z"":-0.25},{""x"":0.86,""y"":3.31,""z"":-0.25}]","[{""x"":1.62,""y"":1.41,""z"":-0.25},{""x"":0.86,""y"":3.31,""z"":-0.25}]",0.0,0.0
2,"{""start"":{""x"":1.21,""y"":3.32,""z"":-0.25},""goal"":{""x"":0.91,""y"":0.96,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.12,1.14,-0.75],""max_corner"":[2.39,1.39,0.25],""size"":[0.27,0.25,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[3.36,2.39,-0.75],""max_corner"":[3.95,3.14,0.25],""size"":[0.58,0.75,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[2.12,1.14,-0.75],\""max_corner\"":[2.39,1.39,0.25],\""size\"":[0.27,0.25,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[3.36,2.39,-0.75],\""max_corner\"":[3.95,3.14,0.25],\""size\"":[0.58,0.75,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":1.21,""y"":3.32,""z"":-0.25},{""x"":0.91,""y"":0.96,""z"":-0.25}]","[{""x"":1.21,""y"":3.32,""z"":-0.25},{""x"":0.91,""y"":0.96,""z"":-0.25}]",0.0,0.0
3,"{""start"":{""x"":2.02,""y"":1.1,""z"":-0.25},""goal"":{""x"":2.99,""y"":2.85,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[3.62,2.12,-0.75],""max_corner"":[3.93,2.77,0.25],""size"":[0.31,0.65,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[0.66,2.74,-0.75],""max_corner"":[1.15,3.48,0.25],""size"":[0.49,0.74,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[3.62,2.12,-0.75],\""max_corner\"":[3.93,2.77,0.25],\""size\"":[0.31,0.65,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[0.66,2.74,-0.75],\""max_corner\"":[1.15,3.48,0.25],\""size\"":[0.49,0.74,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":2.02,""y"":1.1,""z"":-0.25},{""x"":2.99,""y"":2.85,""z"":-0.25}]","[{""x"":2.02,""y"":1.1,""z"":-0.25},{""x"":2.99,""y"":2.85,""z"":-0.25}]",0.0,0.0
4,"{""start"":{""x"":1.88,""y"":0.07,""z"":-0.25},""goal"":{""x"":2.38,""y"":3.3,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.65,2.37,-0.75],""max_corner"":[3.21,2.86,0.25],""size"":[0.56,0.5,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[1.62,1.72,-0.75],""max_corner"":[2.08,2.0,0.25],""size"":[0.47,0.29,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[2.65,2.37,-0.75],\""max_corner\"":[3.21,2.86,0.25],\""size\"":[0.56,0.5,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[1.62,1.72,-0.75],\""max_corner\"":[2.08,2.0,0.25],\""size\"":[0.47,0.29,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":1.88,""y"":0.07,""z"":-0.25},{""x"":0.66,""y"":1.56,""z"":-0.25},{""x"":0.99,""y"":2.74,""z"":-0.25},{""x"":2.38,""y"":3.3,""z"":-0.25}]","[{""x"":1.88,""y"":0.07,""z"":-0.25},{""x"":0.98,""y"":1.29,""z"":-0.25},{""x"":1.13,""y"":2.64,""z"":-0.25},{""x"":2.38,""y"":3.3,""z"":-0.25}]",0.202823,0.339444
5,"{""start"":{""x"":2.7,""y"":2.41,""z"":-0.25},""goal"":{""x"":2.54,""y"":0.61,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.55,1.13,-0.75],""max_corner"":[3.2,1.48,0.25],""size"":[0.65,0.35,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[0.8,2.29,-0.75],""max_corner"":[1.35,3.02,0.25],""size"":[0.55,0.72,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[2.55,1.13,-0.75],\""max_corner\"":[3.2,1.48,0.25],\""size\"":[0.65,0.35,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[0.8,2.29,-0.75],\""max_corner\"":[1.35,3.02,0.25],\""size\"":[0.55,0.72,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":2.7,""y"":2.41,""z"":-0.25},{""x"":1.86,""y"":1.84,""z"":-0.25},{""x"":1.96,""y"":0.5,""z"":-0.25},{""x"":2.54,""y"":0.61,""z"":-0.25}]","[{""x"":2.7,""y"":2.41,""z"":-0.25},{""x"":2.04,""y"":1.96,""z"":-0.25},{""x"":2.04,""y"":0.6,""z"":-0.25},{""x"":2.54,""y"":0.61,""z"":-0.25}]",0.247315,0.169742
6,"{""start"":{""x"":2.3,""y"":2.03,""z"":-0.25},""goal"":{""x"":0.73,""y"":2.49,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.74,0.83,-0.75],""max_corner"":[3.2,1.09,0.25],""size"":[0.47,0.25,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[2.46,0.9,-0.75],""max_corner"":[3.1,1.47,0.25],""size"":[0.64,0.56,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[0.53,0.31,-0.75],""max_corner"":[1.24,0.77,0.25],""size"":[0.7,0.46,1.0]},{""id"":4,""label"":""box_4"",""shape"":""box"",""min_corner"":[3.38,3.0,-0.75],""max_corner"":[3.89,3.29,0.25],""size"":[0.51,0.29,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[2.74,0.83,-0.75],\""max_corner\"":[3.2,1.09,0.25],\""size\"":[0.47,0.25,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[2.46,0.9,-0.75],\""max_corner\"":[3.1,1.47,0.25],\""size\"":[0.64,0.56,1.0]},{\""id\"":3,\""label\"":\""box_3\"",\""shape\"":\""box\"",\""min_corner\"":[0.53,0.31,-0.75],\""max_corner\"":[1.24,0.77,0.25],\""size\"":[0.7,0.46,1.0]},{\""id\"":4,\""label\"":\""box_4\"",\""shape\"":\""box\"",\""min_corner\"":[3.38,3.0,-0.75],\""max_corner\"":[3.89,3.29,0.25],\""size\"":[0.51,0.29,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":2.3,""y"":2.03,""z"":-0.25},{""x"":0.73,""y"":2.49,""z"":-0.25}]","[{""x"":2.3,""y"":2.03,""z"":-0.25},{""x"":0.73,""y"":2.49,""z"":-0.25}]",0.0,0.0
7,"{""start"":{""x"":3.55,""y"":3.24,""z"":-0.25},""goal"":{""x"":2.85,""y"":1.01,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[0.26,2.64,-0.75],""max_corner"":[0.97,3.26,0.25],""size"":[0.71,0.63,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[0.26,2.64,-0.75],\""max_corner\"":[0.97,3.26,0.25],\""size\"":[0.71,0.63,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":3.55,""y"":3.24,""z"":-0.25},{""x"":2.85,""y"":1.01,""z"":-0.25}]","[{""x"":3.55,""y"":3.24,""z"":-0.25},{""x"":2.85,""y"":1.01,""z"":-0.25}]",0.0,0.0
8,"{""start"":{""x"":0.47,""y"":3.62,""z"":-0.25},""goal"":{""x"":1.6,""y"":1.34,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[3.1,2.03,-0.75],""max_corner"":[3.75,2.71,0.25],""size"":[0.65,0.67,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[2.31,0.97,-0.75],""max_corner"":[2.69,1.51,0.25],""size"":[0.38,0.54,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[0.45,1.28,-0.75],""max_corner"":[1.19,1.97,0.25],""size"":[0.74,0.68,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[3.1,2.03,-0.75],\""max_corner\"":[3.75,2.71,0.25],\""size\"":[0.65,0.67,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[2.31,0.97,-0.75],\""max_corner\"":[2.69,1.51,0.25],\""size\"":[0.38,0.54,1.0]},{\""id\"":3,\""label\"":\""box_3\"",\""shape\"":\""box\"",\""min_corner\"":[0.45,1.28,-0.75],\""max_corner\"":[1.19,1.97,0.25],\""size\"":[0.74,0.68,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":0.47,""y"":3.62,""z"":-0.25},{""x"":1.96,""y"":2.13,""z"":-0.25},{""x"":1.6,""y"":1.34,""z"":-0.25}]","[{""x"":0.47,""y"":3.62,""z"":-0.25},{""x"":1.79,""y"":2.43,""z"":-0.25},{""x"":1.6,""y"":1.34,""z"":-0.25}]",0.272844,0.228883
9,"{""start"":{""x"":1.35,""y"":2.86,""z"":-0.25},""goal"":{""x"":0.31,""y"":3.5,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[3.01,3.28,-0.75],""max_corner"":[3.3,3.7,0.25],""size"":[0.29,0.42,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[0.33,0.37,-0.75],""max_corner"":[0.98,1.08,0.25],""size"":[0.65,0.71,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[3.01,3.28,-0.75],\""max_corner\"":[3.3,3.7,0.25],\""size\"":[0.29,0.42,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[0.33,0.37,-0.75],\""max_corner\"":[0.98,1.08,0.25],\""size\"":[0.65,0.71,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":1.35,""y"":2.86,""z"":-0.25},{""x"":0.31,""y"":3.5,""z"":-0.25}]","[{""x"":1.35,""y"":2.86,""z"":-0.25},{""x"":0.31,""y"":3.5,""z"":-0.25}]",0.0,0.0
